slug_tabela,dimensao,nome_publicado,descricao,responsavel,fonte_original,fonte_extracao,link,licenca,licenca_url,periodicidade_fonte,data_ultima_atualizacao_fonte,chave_primaria,granularidade,metodo_acesso,script_ingestao,citacao_recomendada,regra_preenchimento_temporal,cobertura_temporal_da_fonte,observacoes
06_financas,06_financas,Finanças municipais: receitas orçamentárias e emendas parlamentares,"Receitas orçamentárias municipais do SICONFI e valores de emendas parlamentares por função orçamentária, da CGU.",,Tesouro Nacional (SICONFI) e Controladoria-Geral da União,Base dos Dados e Portal da Transparência,,"Dado publico federal. Uso livre com citacao da fonte, nos termos da Lei de Acesso a Informacao (Lei 12.527/2011) e do Decreto 8.777/2016 (Politica de Dados Abertos do Executivo Federal). Verificado em 26/07/2026.",https://www.gov.br/governodigital/pt-br/dados-abertos,anual,,"id_municipio, ano",municipio x ano,arquivo_local,tools/migracao/migrar_dimensoes.R,,nenhuma,1989-2024,"CHAVE DUPLICADA NA ORIGEM: 222 pares município-ano aparecem mais de uma vez, com 235 linhas excedentes. A causa provável é a junção entre receitas e emendas, feita sem verificação de cardinalidade, combinada com o fato de as emendas serem associadas ao município POR NOME, sem UF — 1.067 de 11.649 linhas têm UF divergente, e o próprio comentário do script legado admite o problema. As 24 colunas de emendas chegam ao artefato com nomes em Title Case e com acento, gerados por pivot_wider (Comércio.e.serviços, Ciência.e.Tecnologia). Elas colidem com os NOMES DAS PRÓPRIAS DIMENSÕES do painel. O mapeamento para valor_emendas_* foi reconstruído e gravado. A receita própria é classificada por expressão regular sobre texto livre, procurando IPTU, ITBI e ISS no nome da conta. total_receitas_fundeb MEDE A DEDUÇÃO do FUNDEB, não uma receita. Os valores já vêm deflacionados para dezembro de 2023, sem sufixo. DEFEITO ABERTO (auditoria 26/07/2026, achados 3, 4 e 5): tres classes de defeito nas colunas de receita. (a) siconfi_receitas_totais_brl2023 e siconfi_receitas_brutas_brl2023 somam os tres estagios da receita E a hierarquia de contas, ficando inflados em cerca de uma ordem de grandeza — o maximo publicado e R$ 2,59 trilhoes num unico municipio-ano. (b) Seis colunas publicam vazio como zero, cerca de 792.000 celulas, porque sum() sobre subconjunto vazio devolve 0 e nao NA; siconfi_receitas_realizadas_brl2023 e 96,95% zero e so tem dado em 2013. (c) siconfi_receitas_proprias_brl2023 tem um buraco de quatro anos, 2018-2021, com 99,1% de zeros. A cobertura_temporal_da_fonte e a regra_preenchimento_temporal declaradas valem para a tabela e NAO para essas colunas — use o campo calculado janela_efetiva de cada uma."
07_recursos_humanos,07_recursos_humanos,Recursos humanos da administração municipal,"Vínculos da administração direta e indireta municipal por tipo (estatutários, CLT, comissionados, estagiários), da pesquisa MUNIC.",,IBGE — Pesquisa de Informações Básicas Municipais,"arquivos .xlsx da MUNIC, por edição",,"Dado publico federal. Uso livre com citacao da fonte, nos termos da Lei de Acesso a Informacao (Lei 12.527/2011) e do Decreto 8.777/2016 (Politica de Dados Abertos do Executivo Federal). Verificado em 26/07/2026.",https://www.gov.br/governodigital/pt-br/dados-abertos,bienal,,"id_municipio, ano",municipio x ano,arquivo_local,tools/migracao/migrar_dimensoes.R,,nenhuma,"2009-2023, faltando 2010, 2016 e 2022","DEFEITO CORRIGIDO NA MIGRAÇÃO: a planilha de 2019 traz 80 linhas fantasma, que contêm apenas o caractere '-' e atravessavam o pipeline com id_municipio nulo. Elas são eliminadas aqui. DEFEITO NÃO CORRIGIDO: em 2011 a variável de existência de administração indireta recebeu a coluna do total de funcionários, o que torna essa coluna categórica em onze anos e numérica em 2011. As edições de 2010, 2016 e 2022 nunca foram baixadas."
08_energia_internet,08_energia_internet,Energia elétrica e acesso à internet,"Densidade de acessos de banda larga fixa e de telefonia móvel, e cobertura de eletricidade.",,Anatel e IBGE,Base dos Dados e arquivos locais,,"Dado publico federal. Uso livre com citacao da fonte, nos termos da Lei de Acesso a Informacao (Lei 12.527/2011) e do Decreto 8.777/2016 (Politica de Dados Abertos do Executivo Federal). Verificado em 26/07/2026.",https://www.gov.br/governodigital/pt-br/dados-abertos,anual,,"id_municipio, ano",municipio x ano,arquivo_local,tools/migracao/migrar_dimensoes.R,,nenhuma,2004-2024,"Dez das doze colunas desta dimensão eram homônimas entre banda larga e telefonia móvel no legado, distinguíveis apenas pelo arquivo de origem. Os prefixos anatel_bl_ e anatel_tm_ resolvem isso. Os metadados declaram 31 variáveis; a tabela entrega 10."
09_educacao,09_educacao,"IDEB, SAEB e ensino superior",Notas do IDEB e do SAEB agregadas por município e contagem de instituições de ensino superior.,,INEP,Base dos Dados,,"Dado publico federal. Uso livre com citacao da fonte, nos termos da Lei de Acesso a Informacao (Lei 12.527/2011) e do Decreto 8.777/2016 (Politica de Dados Abertos do Executivo Federal). Verificado em 26/07/2026.",https://www.gov.br/governodigital/pt-br/dados-abertos,bienal,,"id_municipio, ano",municipio x ano,arquivo_local,tools/migracao/migrar_dimensoes.R,,carry_forward,2005-2024,"O IDEB é BIENAL e o painel anual é construído replicando cada edição para o ano seguinte: 55.694 das 111.388 linhas carregam valores duplicados do ano ímpar anterior, e a única pista é comparar ano com ano_ideb. DEFEITO CONHECIDO: as colunas do Censo da Educação Superior tiveram NA trocado por zero por índice posicional, fabricando 27.850 linhas que afirmam ZERO instituições quando o correto seria ausência de dado. As colunas media_saeb_* NÃO vêm do SAEB: a extração do SAEB nunca foi implementada, e o único bloco ativo do script é sintaticamente inválido."
09_educacao/censup,09_educacao,Censo da Educação Superior — instituições por natureza jurídica,"Contagem de instituições de ensino superior no município, aberta por dependência administrativa e por natureza jurídica das privadas.",,INEP — Censo da Educação Superior,basedosdados.br_inep_censo_educacao_superior,https://www.gov.br/inep/pt-br/areas-de-atuacao/pesquisas-estatisticas-e-indicadores/censo-da-educacao-superior,"Dado publico federal. Uso livre com citacao da fonte, nos termos da Lei de Acesso a Informacao (Lei 12.527/2011) e do Decreto 8.777/2016 (Politica de Dados Abertos do Executivo Federal). Verificado em 26/07/2026.",https://www.gov.br/governodigital/pt-br/dados-abertos,anual,,"id_municipio, ano",municipio x ano,bigquery,,,nenhuma,2009-2023,"A tabela publicada declara cobertura 1995-2023 e entrega 2009-2023: fora dessa faixa todas as contagens são zero, e o zero é preenchimento e não medição. Aqui ficam só os municipio-ano com pelo menos uma instituição."
09_educacao/ideb,09_educacao,"IDEB e SAEB por município, etapa e rede","Notas do IDEB e do SAEB e metas projetadas, agregadas por município e abertas por etapa de ensino (anos iniciais, anos finais, médio) e por rede (federal, estadual, municipal). Divulgação bienal.",,INEP,basedosdados.br_inep_ideb,https://www.gov.br/inep/pt-br/areas-de-atuacao/pesquisas-estatisticas-e-indicadores/ideb,"Dado publico federal. Uso livre com citacao da fonte, nos termos da Lei de Acesso a Informacao (Lei 12.527/2011) e do Decreto 8.777/2016 (Politica de Dados Abertos do Executivo Federal). Verificado em 26/07/2026.",https://www.gov.br/governodigital/pt-br/dados-abertos,bienal,,"id_municipio, ano","municipio x ano de divulgacao (bienal, anos impares)",bigquery,,,carry_forward,2005-2023,"O legado propagava cada divulgação para o ano par seguinte, gerando 111.388 linhas a partir de 55.694 medições."
10_saude,10_saude,"Saúde: cobertura vacinal, atenção básica e indicadores IEPS","Cobertura vacinal por imunobiológico (SI-PNI), cobertura da atenção básica e da Estratégia Saúde da Família (e-Gestor), e indicadores de mortalidade, hospitalização e despesa do IEPS.",,"Ministério da Saúde (SI-PNI, e-Gestor) e IEPS",Base dos Dados e IEPS Data,,"A VERIFICAR — mistura fonte publica federal (SI-PNI e e-Gestor do Ministerio da Saude, uso livre com citacao) com o IEPS Data, do Instituto de Estudos para Politicas de Saude, que e organizacao privada sem fins lucrativos e nao declara licenca aberta explicita. As tres colunas do IEPS (ieps_*) precisam de verificacao antes de qualquer publicacao formal.",https://ieps.org.br/ieps-data/,anual,,"id_municipio, ano",municipio x ano,arquivo_local,tools/migracao/migrar_dimensoes.R,,nenhuma,1994-2021,"OITO CONCEITOS MEDIDOS DUAS VEZES, por SI-PNI e por IEPS. As duas séries são mantidas, porque não são versões concorrentes do mesmo número: o IEPS trunca em 100 e o SI-PNI não. E no caso da hepatite B elas medem populações DIFERENTES — o IEPS cobre só crianças até 30 dias —, com correlação de 0,061 entre as duas. A cobertura do SI-PNI chega a 51.175% em pni_cobertura_vacinal_agregada_pct (13.050% e o maximo de pni_cobertura_bcg_pct, e era esse o numero que circulava) por erro de denominador na população-alvo; os valores são mantidos e o domínio declarado. PERDA CONHECIDA: o arquivo do IEPS consumido tem 33.420 linhas contra 66.840 do bruto — metade da fonte se perde antes de chegar aqui. As fontes SIA, SIM e SINAN têm script e nenhuma saída; ver pendencias/. DEFEITO ABERTO (auditoria 26/07/2026, achado 27): as colunas pni_cobertura_* publicam 0% onde a vacina AINDA NAO EXISTIA no calendario nacional e onde o dado simplesmente falta. O valor correto para 'nao-aplicavel' e ausencia, nao zero. Atinge ao menos Hib (antes de 1999), hepatite B (antes de 1998), triplice viral dose 1 (1999), dTpa gestante (antes de 2014), penta (antes de 2012) e tetra viral (antes de 2013). Alem disso, 2003 e uma extracao truncada: tres colunas colapsam a zero naquele ano e se recuperam em 2004, com o Distrito Federal ileso. NAO calcule media historica de cobertura vacinal sem recortar a janela de vigencia de cada vacina. MAGNITUDE MEDIDA em 26/07/2026 (auditoria, achado 53), porque os textos do projeto a subestimavam citando so o maximo: sao 445.721 de 1.413.239 celulas das 16 colunas pni_ acima de 100 — 31,5% —, presentes em 109.451 das linhas da tabela (73,4%). Dos excedentes, 87,6% ficam entre 100 e 150, o que e compativel com denominador de populacao-alvo subestimado; a cauda acima de 1.000 e que exige explicacao propria. ACHADO 71: as colunas ieps_cobertura_vacinal_* NAO sao fonte independente das pni_cobertura_*. Elas coincidem com min(pni_cobertura_*, 100) em cerca de 94% das linhas — sao a mesma medida truncada em 100 — e nao acrescentam nenhuma observacao municipio-ano ao painel. Ficam publicadas por rastreabilidade da fonte. A UNICA excecao e o par da hepatite B, que e genuinamente independente porque mede populacao diferente."
11_transportes,11_transportes,Tarifas de transporte público e tarifa zero,"Tarifa de ônibus e comprometimento de renda com transporte público (Mobilidados), e adoção de política de tarifa zero.",,Mobilidados/ITDP e levantamento Daniel Santini,Base dos Dados e planilha colaborativa,,"A VERIFICAR — combina o Mobilidados/ITDP (Instituto de Politicas de Transporte e Desenvolvimento, organizacao privada) com levantamentos abertos. Ver as licencas das fontes.",https://mobilidados.org.br/,eventual,,"id_municipio, ano",municipio x ano,arquivo_local,tools/migracao/migrar_dimensoes.R,,nenhuma,1991-2024,"A COBERTURA DE 100% NA BASE PUBLICADA É ARTEFATO. A fonte Mobilidados cobre 27 municípios; o restante do painel é esqueleto com valor imputado por soma acumulada. DEFEITO CONHECIDO: os cinco municípios que adotaram a tarifa zero e depois a encerraram (entre eles Palmas e Paulínia) aparecem com zero em TODOS os anos, inclusive naqueles em que a política estava em vigor, porque a aba de encerrados da planilha nunca é lida. A tarifa já vem deflacionada para dezembro de 2023, sem sufixo."
11_transportes/tarifa_zero,11_transportes,Municípios com tarifa zero no transporte público,"Municípios que adotaram tarifa zero no transporte coletivo urbano, com o ano de início da política.",,Levantamento do Observatório da Tarifa Zero,compilacao manual,https://tarifazero.org/,"Levantamento do Observatorio da Tarifa Zero. A VERIFICAR: o Observatorio publica o levantamento abertamente, mas nao declara licenca formal.",https://tarifazero.org/,eventual,,"id_municipio, ano",municipio x ano com a politica vigente,download_manual,,,carry_forward,1992-2024,"O legado preenchia com zero todos os 183.814 municipio-ano do painel, o que faz a cobertura aparentar 100% quando a fonte registra 578 municipio-ano com a política. O zero não é medição: é a ausência de registro no levantamento. DEFEITO ABERTO (auditoria 26/07/2026, achado 33): esta tabela e declarada CANONICA — a camada que guarda o observado — e ja vem EXPANDIDA: 81,7% das suas linhas sao carry_forward a partir do ano de adocao, e a evidencia foi apagada nelas (ano_ref_inicio_tarifa_zero fica NA em 472 linhas, apesar de ser atributo constante por municipio). Falta tambem a flag_imputado_adota_tarifa_zero que plano/01 promete. Ou a tabela guarda 106 linhas, uma por evento, e a expansao passa para a dimensao, ou ela e assumidamente de duracao de evento — e nesse caso o README e o CLAUDE.md precisam parar de usa-la como exemplo de 'o observado'."
11_transportes/tarifas,11_transportes,Tarifa de ônibus urbano e comprometimento de renda,"Valor da tarifa de ônibus urbano, deflacionado para dezembro de 2023, e o peso dela sobre o salário mínimo e sobre a renda de domicílios chefiados por pessoas negras.",,Levantamento próprio MAPE a partir de decretos municipais,compilacao manual,,"Levantamento proprio do MAPE a partir de decretos municipais, que sao atos publicos. A compilacao e do projeto e e publicada sob CC BY 4.0.",https://creativecommons.org/licenses/by/4.0/deed.pt-br,eventual,,"id_municipio, ano",municipio x ano com tarifa levantada,download_manual,,,nenhuma,2005-2017,"Cobertura restrita: 351 municipio-ano com tarifa levantada, de um painel de 183.814. Os valores estão deflacionados e a série nominal não existe no repositório — ver pendencias/serie-nominal.md."
